Time,Open,High,Low,Close
2021-06-01 23:10:00,1.41612,1.41612,1.41602,1.41603
2021-06-01 23:15:00,1.41604,1.41615,1.41602,1.41602
2021-06-01 23:20:00,1.41609,1.41615,1.416,1.41602
2021-06-01 23:25:00,1.41602,1.41602,1.41589,1.41591
2021-06-01 23:30:00,1.41592,1.41592,1.41557,1.41569
2021-06-01 23:35:00,1.41567,1.41601,1.41556,1.41579
2021-06-01 23:40:00,1.41581,1.41591,1.41579,1.41589
2021-06-01 23:45:00,1.41591,1.41592,1.41589,1.41591
2021-06-01 23:50:00,1.41589,1.41594,1.41583,1.41591
2021-06-01 23:55:00,1.4159,1.41594,1.4159,1.41594
2021-06-02 00:00:00,1.41596,1.41605,1.41581,1.41592
2021-06-02 00:05:00,1.41592,1.41592,1.41571,1.4158
2021-06-02 00:10:00,1.4158,1.41587,1.4157,1.4158
2021-06-02 00:15:00,1.41581,1.41586,1.4156,1.4156
2021-06-02 00:20:00,1.41561,1.41561,1.41559,1.41559
2021-06-02 00:25:00,1.41557,1.41558,1.4152,1.41541
2021-06-02 00:30:00,1.41541,1.41551,1.41525,1.4153
2021-06-02 00:35:00,1.4153,1.41543,1.41526,1.4154
2021-06-02 00:40:00,1.41542,1.41565,1.41541,1.41559
2021-06-02 00:45:00,1.41557,1.41559,1.41519,1.41522
2021-06-02 00:50:00,1.41522,1.41523,1.41497,1.41511
2021-06-02 00:55:00,1.4151,1.41511,1.41477,1.4148
2021-06-02 01:00:00,1.41479,1.41482,1.41464,1.41473
2021-06-02 01:05:00,1.41473,1.41532,1.41471,1.4152
2021-06-02 01:10:00,1.41522,1.41522,1.41471,1.41471
2021-06-02 01:15:00,1.4147,1.4149,1.41468,1.41478
2021-06-02 01:20:00,1.41476,1.41498,1.41471,1.41488
2021-06-02 01:25:00,1.41488,1.41525,1.4148,1.41481
2021-06-02 01:30:00,1.41478,1.41509,1.41463,1.41509
2021-06-02 01:35:00,1.41509,1.41528,1.41496,1.41519
2021-06-02 01:40:00,1.41517,1.41548,1.41509,1.4154
2021-06-02 01:45:00,1.41539,1.41562,1.41536,1.41559
2021-06-02 01:50:00,1.41559,1.41565,1.4155,1.41557
2021-06-02 01:55:00,1.41555,1.41555,1.41511,1.41511
2021-06-02 02:00:00,1.41511,1.41519,1.41422,1.41424
2021-06-02 02:05:00,1.41423,1.415,1.41422,1.41474
2021-06-02 02:10:00,1.41479,1.41544,1.41463,1.41535
2021-06-02 02:15:00,1.41536,1.4156,1.41522,1.4154
2021-06-02 02:20:00,1.41538,1.41581,1.41531,1.4156
2021-06-02 02:25:00,1.41562,1.41562,1.41528,1.41561
2021-06-02 02:30:00,1.41563,1.41576,1.41525,1.41536
2021-06-02 02:35:00,1.41536,1.41554,1.41454,1.41476
2021-06-02 02:40:00,1.41475,1.41493,1.41444,1.41484
2021-06-02 02:45:00,1.41485,1.41498,1.4146,1.41462
2021-06-02 02:50:00,1.41461,1.41493,1.41442,1.41464
2021-06-02 02:55:00,1.41465,1.41473,1.4143,1.41471
2021-06-02 03:00:00,1.41471,1.41471,1.41372,1.4145
2021-06-02 03:05:00,1.41449,1.41505,1.41415,1.41483
2021-06-02 03:10:00,1.41481,1.41487,1.41413,1.41421
2021-06-02 03:15:00,1.41422,1.41466,1.41382,1.4146
2021-06-02 03:20:00,1.41461,1.41484,1.41398,1.41402
2021-06-02 03:25:00,1.414,1.41403,1.41323,1.41338
2021-06-02 03:30:00,1.41338,1.41404,1.41283,1.41393
2021-06-02 03:35:00,1.41392,1.41434,1.41364,1.41433
2021-06-02 03:40:00,1.41432,1.41461,1.41423,1.41446
2021-06-02 03:45:00,1.41446,1.41447,1.41398,1.41442
2021-06-02 03:50:00,1.41443,1.41448,1.41362,1.41394
2021-06-02 03:55:00,1.41392,1.414,1.41315,1.41393
2021-06-02 04:00:00,1.41395,1.41417,1.41387,1.41403
2021-06-02 04:05:00,1.41403,1.41405,1.41349,1.4138
2021-06-02 04:10:00,1.41378,1.41439,1.41367,1.41427
2021-06-02 04:15:00,1.41425,1.41433,1.41367,1.41383
2021-06-02 04:20:00,1.41382,1.4139,1.41318,1.41355
2021-06-02 04:25:00,1.41355,1.41366,1.41335,1.41347
2021-06-02 04:30:00,1.41344,1.41384,1.41314,1.41319
2021-06-02 04:35:00,1.4132,1.41335,1.41248,1.41281
2021-06-02 04:40:00,1.41278,1.41357,1.41277,1.41343
2021-06-02 04:45:00,1.41345,1.41364,1.41333,1.41342
2021-06-02 04:50:00,1.41341,1.41368,1.41327,1.41354
2021-06-02 04:55:00,1.41359,1.41371,1.41334,1.4136
2021-06-02 05:00:00,1.41362,1.41395,1.41328,1.41395
2021-06-02 05:05:00,1.41397,1.41399,1.41333,1.41341
2021-06-02 05:10:00,1.41341,1.41363,1.41303,1.41361
2021-06-02 05:15:00,1.4136,1.41374,1.41334,1.4136
2021-06-02 05:20:00,1.41359,1.41389,1.41346,1.41366
